           t           x           y          vx          vy
     0.13200     1.01220     1.01220     0.10000     0.10000
     0.13300     1.01230     1.01230     0.10000     0.10000
     0.13400     1.01240     1.01240     0.10000     0.10000
     0.13500     1.01250     1.01250     0.10000     0.10000
     0.13600     1.01260     1.01260     0.10000     0.10000
     0.13700     1.01270     1.01270     0.10000     0.10000
     0.13800     1.01280     1.01280     0.10000     0.10000
     0.13900     1.01290     1.01290     0.10000     0.10000
     0.14000     1.01300     1.01300     0.10000     0.10000
     0.14100     1.01310     1.01310     0.10000     0.10000
     0.14200     1.01320     1.01320     0.10000     0.10000
     0.14300     1.01330     1.01330     0.10000     0.10000
     0.14400     1.01340     1.01340     0.10000     0.10000
     0.14500     1.01350     1.01350     0.10000     0.10000
     0.14600     1.01360     1.01360     0.10000     0.10000
     0.14700     1.01370     1.01370     0.10000     0.10000
     0.14800     1.01380     1.01380     0.10000     0.10000
     0.14900     1.01390     1.01390     0.10000     0.10000
     0.15000     1.01400     1.01400     0.10000     0.10000
     0.15100     1.01410     1.01410     0.10000     0.10000
     0.15200     1.01420     1.01420     0.10000     0.10000
     0.15300     1.01430     1.01430     0.10000     0.10000
     0.15400     1.01440     1.01440     0.10000     0.10000
     0.15500     1.01450     1.01450     0.10000     0.10000
     0.15600     1.01460     1.01460     0.10000     0.10000
     0.15700     1.01470     1.01470     0.10000     0.10000
     0.15800     1.01480     1.01480     0.10000     0.10000
     0.15900     1.01490     1.01490     0.10000     0.10000
     0.16000     1.01500     1.01500     0.10000     0.10000
     0.16100     1.01510     1.01510     0.10000     0.10000
     0.16200     1.01520     1.01520     0.10000     0.10000
     0.16300     1.01530     1.01530     0.10000     0.10000
     0.16400     1.01540     1.01540     0.10000     0.10000
     0.16500     1.01550     1.01550     0.10000     0.10000
     0.16600     1.01560     1.01560     0.10000     0.10000
     0.16700     1.01570     1.01570     0.10000     0.10000
     0.16800     1.01580     1.01580     0.10000     0.10000
     0.16900     1.01590     1.01590     0.10000     0.10000
     0.17000     1.01600     1.01600     0.10000     0.10000
     0.17100     1.01610     1.01610     0.10000     0.10000
     0.17200     1.01620     1.01620     0.10000     0.10000
     0.17300     1.01630     1.01630     0.10000     0.10000
     0.17400     1.01640     1.01640     0.10000     0.10000
     0.17500     1.01650     1.01650     0.10000     0.10000
     0.17600     1.01660     1.01660     0.10000     0.10000
     0.17700     1.01670     1.01670     0.10000     0.10000
     0.17800     1.01680     1.01680     0.10000     0.10000
     0.17900     1.01690     1.01690     0.10000     0.10000
     0.18000     1.01700     1.01700     0.10000     0.10000
     0.18100     1.01710     1.01710     0.10000     0.10000
     0.18200     1.01720     1.01720     0.10000     0.10000
     0.18300     1.01730     1.01730     0.10000     0.10000
     0.18400     1.01740     1.01740     0.10000     0.10000
     0.18500     1.01750     1.01750     0.10000     0.10000
     0.18600     1.01760     1.01760     0.10000     0.10000
     0.18700     1.01770     1.01770     0.10000     0.10000
     0.18800     1.01780     1.01780     0.10000     0.10000
     0.18900     1.01790     1.01790     0.10000     0.10000
     0.19000     1.01800     1.01800     0.10000     0.10000
     0.19100     1.01810     1.01810     0.10000     0.10000
     0.19200     1.01820     1.01820     0.10000     0.10000
     0.19300     1.01830     1.01830     0.10000     0.10000
     0.19400     1.01840     1.01840     0.10000     0.10000
     0.19500     1.01850     1.01850     0.10000     0.10000
     0.19600     1.01860     1.01860     0.10000     0.10000
     0.19700     1.01870     1.01870     0.10000     0.10000
     0.19800     1.01880     1.01880     0.10000     0.10000
     0.19900     1.01890     1.01890     0.10000     0.10000
     0.20000     1.01900     1.01900     0.10000     0.10000
     0.20100     1.01910     1.01910     0.10000     0.10000
     0.20200     1.01920     1.01920     0.10000     0.10000
     0.20300     1.01930     1.01930     0.10000     0.10000
     0.20400     1.01940     1.01940     0.10000     0.10000
     0.20500     1.01950     1.01950     0.10000     0.10000
     0.20600     1.01960     1.01960     0.10000     0.10000
     0.20700     1.01970     1.01970     0.10000     0.10000
     0.20800     1.01980     1.01980     0.10000     0.10000
     0.20900     1.01990     1.01990     0.10000     0.10000
     0.21000     1.02000     1.02000     0.10000     0.10000
     0.21100     1.02010     1.02010     0.10000     0.10000
     0.21200     1.02020     1.02020     0.10000     0.10000
     0.21300     1.02030     1.02030     0.10000     0.10000
     0.21400     1.02040     1.02040     0.10000     0.10000
     0.21500     1.02050     1.02050     0.10000     0.10000
     0.21600     1.02060     1.02060     0.10000     0.10000
     0.21700     1.02070     1.02070     0.10000     0.10000
     0.21800     1.02080     1.02080     0.10000     0.10000
     0.21900     1.02090     1.02090     0.10000     0.10000
     0.22000     1.02100     1.02100     0.10000     0.10000
     0.22100     1.02110     1.02110     0.10000     0.10000
     0.22200     1.02120     1.02120     0.10000     0.10000
     0.22300     1.02130     1.02130     0.10000     0.10000
     0.22400     1.02140     1.02140     0.10000     0.10000
     0.22500     1.02150     1.02150     0.10000     0.10000
     0.22600     1.02160     1.02160     0.10000     0.10000
     0.22700     1.02170     1.02170     0.10000     0.10000
     0.22800     1.02180     1.02180     0.10000     0.10000
     0.22900     1.02190     1.02190     0.10000     0.10000
     0.23000     1.02200     1.02200     0.10000     0.10000
     0.23100     1.02210     1.02210     0.10000     0.10000
     0.23200     1.02220     1.02220     0.10000     0.10000
     0.23300     1.02230     1.02230     0.10000     0.10000
     0.23400     1.02240     1.02240     0.10000     0.10000
     0.23500     1.02250     1.02250     0.10000     0.10000
     0.23600     1.02260     1.02260     0.10000     0.10000
     0.23700     1.02270     1.02270     0.10000     0.10000
     0.23800     1.02280     1.02280     0.10000     0.10000
     0.23900     1.02290     1.02290     0.10000     0.10000
     0.24000     1.02300     1.02300     0.10000     0.10000
     0.24100     1.02310     1.02310     0.10000     0.10000
     0.24200     1.02320     1.02320     0.10000     0.10000
     0.24300     1.02330     1.02330     0.10000     0.10000
     0.24400     1.02340     1.02340     0.10000     0.10000
     0.24500     1.02350     1.02350     0.10000     0.10000
     0.24600     1.02360     1.02360     0.10000     0.10000
     0.24700     1.02370     1.02370     0.10000     0.10000
     0.24800     1.02380     1.02380     0.10000     0.10000
     0.24900     1.02390     1.02390     0.10000     0.10000
     0.25000     1.02400     1.02400     0.10000     0.10000
     0.25100     1.02410     1.02410     0.10000     0.10000
     0.25200     1.02420     1.02420     0.10000     0.10000
     0.25300     1.02430     1.02430     0.10000     0.10000
     0.25400     1.02440     1.02440     0.10000     0.10000
     0.25500     1.02450     1.02450     0.10000     0.10000
     0.25600     1.02460     1.02460     0.10000     0.10000
     0.25700     1.02470     1.02470     0.10000     0.10000
     0.25800     1.02480     1.02480     0.10000     0.10000
     0.25900     1.02490     1.02490     0.10000     0.10000
     0.26000     1.02500     1.02500     0.10000     0.10000
     0.26100     1.02510     1.02510     0.10000     0.10000
     0.26200     1.02520     1.02520     0.10000     0.10000
     0.26300     1.02530     1.02530     0.10000     0.10000
     0.26400     1.02540     1.02540     0.10000     0.10000
     0.26500     1.02550     1.02550     0.10000     0.10000
     0.26600     1.02560     1.02560     0.10000     0.10000
     0.26700     1.02570     1.02570     0.10000     0.10000
     0.26800     1.02580     1.02580     0.10000     0.10000
     0.26900     1.02590     1.02590     0.10000     0.10000
     0.27000     1.02600     1.02600     0.10000     0.10000
     0.27100     1.02610     1.02610     0.10000     0.10000
     0.27200     1.02620     1.02620     0.10000     0.10000
     0.27300     1.02630     1.02630     0.10000     0.10000
     0.27400     1.02640     1.02640     0.10000     0.10000
     0.27500     1.02650     1.02650     0.10000     0.10000
     0.27600     1.02660     1.02660     0.10000     0.10000
     0.27700     1.02670     1.02670     0.10000     0.10000
     0.27800     1.02680     1.02680     0.10000     0.10000
     0.27900     1.02690     1.02690     0.10000     0.10000
     0.28000     1.02700     1.02700     0.10000     0.10000
     0.28100     1.02710     1.02710     0.10000     0.10000
     0.28200     1.02720     1.02720     0.10000     0.10000
     0.28300     1.02730     1.02730     0.10000     0.10000
     0.28400     1.02740     1.02740     0.10000     0.10000
     0.28500     1.02750     1.02750     0.10000     0.10000
     0.28600     1.02760     1.02760     0.10000     0.10000
     0.28700     1.02770     1.02770     0.10000     0.10000
     0.28800     1.02780     1.02780     0.10000     0.10000
     0.28900     1.02790     1.02790     0.10000     0.10000
     0.29000     1.02800     1.02800     0.10000     0.10000
     0.29100     1.02810     1.02810     0.10000     0.10000
     0.29200     1.02820     1.02820     0.10000     0.10000
     0.29300     1.02830     1.02830     0.10000     0.10000
     0.29400     1.02840     1.02840     0.10000     0.10000
     0.29500     1.02850     1.02850     0.10000     0.10000
     0.29600     1.02860     1.02860     0.10000     0.10000
     0.29700     1.02870     1.02870     0.10000     0.10000
     0.29800     1.02880     1.02880     0.10000     0.10000
     0.29900     1.02890     1.02890     0.10000     0.10000
     0.30000     1.02900     1.02900     0.10000     0.10000
     0.30100     1.02910     1.02910     0.10000     0.10000
     0.30200     1.02920     1.02920     0.10000     0.10000
     0.30300     1.02930     1.02930     0.10000     0.10000
     0.30400     1.02940     1.02940     0.10000     0.10000
     0.30500     1.02950     1.02950     0.10000     0.10000
     0.30600     1.02960     1.02960     0.10000     0.10000
     0.30700     1.02970     1.02970     0.10000     0.10000
     0.30800     1.02980     1.02980     0.10000     0.10000
     0.30900     1.02990     1.02990     0.10000     0.10000
     0.31000     1.03000     1.03000     0.10000     0.10000
     0.31100     1.03010     1.03010     0.10000     0.10000
     0.31200     1.03020     1.03020     0.10000     0.10000
     0.31300     1.03030     1.03030     0.10000     0.10000
     0.31400     1.03040     1.03040     0.10000     0.10000
     0.31500     1.03050     1.03050     0.10000     0.10000
     0.31600     1.03060     1.03060     0.10000     0.10000
     0.31700     1.03070     1.03070     0.10000     0.10000
     0.31800     1.03080     1.03080     0.10000     0.10000
     0.31900     1.03090     1.03090     0.10000     0.10000
     0.32000     1.03100     1.03100     0.10000     0.10000
     0.32100     1.03110     1.03110     0.10000     0.10000
     0.32200     1.03120     1.03120     0.10000     0.10000
     0.32300     1.03130     1.03130     0.10000     0.10000
     0.32400     1.03140     1.03140     0.10000     0.10000
     0.32500     1.03150     1.03150     0.10000     0.10000
     0.32600     1.03160     1.03160     0.10000     0.10000
     0.32700     1.03170     1.03170     0.10000     0.10000
     0.32800     1.03180     1.03180     0.10000     0.10000
     0.32900     1.03190     1.03190     0.10000     0.10000
     0.33000     1.03200     1.03200     0.10000     0.10000
     0.33100     1.03210     1.03210     0.10000     0.10000
     0.33200     1.03220     1.03220     0.10000     0.10000
     0.33300     1.03230     1.03230     0.10000     0.10000
     0.33400     1.03240     1.03240     0.10000     0.10000
     0.33500     1.03250     1.03250     0.10000     0.10000
     0.33600     1.03260     1.03260     0.10000     0.10000
     0.33700     1.03270     1.03270     0.10000     0.10000
     0.33800     1.03280     1.03280     0.10000     0.10000
     0.33900     1.03290     1.03290     0.10000     0.10000
     0.34000     1.03300     1.03300     0.10000     0.10000
     0.34100     1.03310     1.03310     0.10000     0.10000
     0.34200     1.03320     1.03320     0.10000     0.10000
     0.34300     1.03330     1.03330     0.10000     0.10000
     0.34400     1.03340     1.03340     0.10000     0.10000
     0.34500     1.03350     1.03350     0.10000     0.10000
     0.34600     1.03360     1.03360     0.10000     0.10000
     0.34700     1.03370     1.03370     0.10000     0.10000
     0.34800     1.03380     1.03380     0.10000     0.10000
     0.34900     1.03390     1.03390     0.10000     0.10000
     0.35000     1.03400     1.03400     0.10000     0.10000
     0.35100     1.03410     1.03410     0.10000     0.10000
     0.35200     1.03420     1.03420     0.10000     0.10000
     0.35300     1.03430     1.03430     0.10000     0.10000
     0.35400     1.03440     1.03440     0.10000     0.10000
     0.35500     1.03450     1.03450     0.10000     0.10000
     0.35600     1.03460     1.03460     0.10000     0.10000
     0.35700     1.03470     1.03470     0.10000     0.10000
     0.35800     1.03480     1.03480     0.10000     0.10000
     0.35900     1.03490     1.03490     0.10000     0.10000
     0.36000     1.03500     1.03500     0.10000     0.10000
     0.36100     1.03510     1.03510     0.10000     0.10000
     0.36200     1.03520     1.03520     0.10000     0.10000
     0.36300     1.03530     1.03530     0.10000     0.10000
     0.36400     1.03540     1.03540     0.10000     0.10000
     0.36500     1.03550     1.03550     0.10000     0.10000
     0.36600     1.03560     1.03560     0.10000     0.10000
     0.36700     1.03570     1.03570     0.10000     0.10000
     0.36800     1.03580     1.03580     0.10000     0.10000
     0.36900     1.03590     1.03590     0.10000     0.10000
     0.37000     1.03600     1.03600     0.10000     0.10000
     0.37100     1.03610     1.03610     0.10000     0.10000
     0.37200     1.03620     1.03620     0.10000     0.10000
     0.37300     1.03630     1.03630     0.10000     0.10000
     0.37400     1.03640     1.03640     0.10000     0.10000
     0.37500     1.03650     1.03650     0.10000     0.10000
     0.37600     1.03660     1.03660     0.10000     0.10000
     0.37700     1.03670     1.03670     0.10000     0.10000
     0.37800     1.03680     1.03680     0.10000     0.10000
     0.37900     1.03690     1.03690     0.10000     0.10000
     0.38000     1.03700     1.03700     0.10000     0.10000
     0.38100     1.03710     1.03710     0.10000     0.10000
     0.38200     1.03720     1.03720     0.10000     0.10000
     0.38300     1.03730     1.03730     0.10000     0.10000
     0.38400     1.03740     1.03740     0.10000     0.10000
     0.38500     1.03750     1.03750     0.10000     0.10000
     0.38600     1.03760     1.03760     0.10000     0.10000
     0.38700     1.03770     1.03770     0.10000     0.10000
     0.38800     1.03780     1.03780     0.10000     0.10000
     0.38900     1.03790     1.03790     0.10000     0.10000
     0.39000     1.03800     1.03800     0.10000     0.10000
     0.39100     1.03810     1.03810     0.10000     0.10000
     0.39200     1.03820     1.03820     0.10000     0.10000
     0.39300     1.03830     1.03830     0.10000     0.10000
     0.39400     1.03840     1.03840     0.10000     0.10000
     0.39500     1.03850     1.03850     0.10000     0.10000
     0.39600     1.03860     1.03860     0.10000     0.10000
     0.39700     1.03870     1.03870     0.10000     0.10000
     0.39800     1.03880     1.03880     0.10000     0.10000
     0.39900     1.03890     1.03890     0.10000     0.10000
     0.40000     1.03900     1.03900     0.10000     0.10000
     0.40100     1.03910     1.03910     0.10000     0.10000
     0.40200     1.03920     1.03920     0.10000     0.10000
     0.40300     1.03930     1.03930     0.10000     0.10000
     0.40400     1.03940     1.03940     0.10000     0.10000
     0.40500     1.03950     1.03950     0.10000     0.10000
     0.40600     1.03960     1.03960     0.10000     0.10000
     0.40700     1.03970     1.03970     0.10000     0.10000
     0.40800     1.03980     1.03980     0.10000     0.10000
     0.40900     1.03990     1.03990     0.10000     0.10000
     0.41000     1.04000     1.04000     0.10000     0.10000
     0.41100     1.04010     1.04010     0.10000     0.10000
     0.41200     1.04020     1.04020     0.10000     0.10000
     0.41300     1.04030     1.04030     0.10000     0.10000
     0.41400     1.04040     1.04040     0.10000     0.10000
     0.41500     1.04050     1.04050     0.10000     0.10000
     0.41600     1.04060     1.04060     0.10000     0.10000
     0.41700     1.04070     1.04070     0.10000     0.10000
     0.41800     1.04080     1.04080     0.10000     0.10000
     0.41900     1.04090     1.04090     0.10000     0.10000
     0.42000     1.04100     1.04100     0.10000     0.10000
     0.42100     1.04110     1.04110     0.10000     0.10000
     0.42200     1.04120     1.04120     0.10000     0.10000
     0.42300     1.04130     1.04130     0.10000     0.10000
     0.42400     1.04140     1.04140     0.10000     0.10000
     0.42500     1.04150     1.04150     0.10000     0.10000
     0.42600     1.04160     1.04160     0.10000     0.10000
     0.42700     1.04170     1.04170     0.10000     0.10000
     0.42800     1.04180     1.04180     0.10000     0.10000
     0.42900     1.04190     1.04190     0.10000     0.10000
     0.43000     1.04200     1.04200     0.10000     0.10000
     0.43100     1.04210     1.04210     0.10000     0.10000
     0.43200     1.04220     1.04220     0.10000     0.10000
     0.43300     1.04230     1.04230     0.10000     0.10000
     0.43400     1.04240     1.04240     0.10000     0.10000
     0.43500     1.04250     1.04250     0.10000     0.10000
     0.43600     1.04260     1.04260     0.10000     0.10000
     0.43700     1.04270     1.04270     0.10000     0.10000
     0.43800     1.04280     1.04280     0.10000     0.10000
     0.43900     1.04290     1.04290     0.10000     0.10000
     0.44000     1.04300     1.04300     0.10000     0.10000
     0.44100     1.04310     1.04310     0.10000     0.10000
     0.44200     1.04320     1.04320     0.10000     0.10000
     0.44300     1.04330     1.04330     0.10000     0.10000
     0.44400     1.04340     1.04340     0.10000     0.10000
     0.44500     1.04350     1.04350     0.10000     0.10000
     0.44600     1.04360     1.04360     0.10000     0.10000
     0.44700     1.04370     1.04370     0.10000     0.10000
     0.44800     1.04380     1.04380     0.10000     0.10000
     0.44900     1.04390     1.04390     0.10000     0.10000
     0.45000     1.04400     1.04400     0.10000     0.10000
     0.45100     1.04410     1.04410     0.10000     0.10000
     0.45200     1.04420     1.04420     0.10000     0.10000
     0.45300     1.04430     1.04430     0.10000     0.10000
     0.45400     1.04440     1.04440     0.10000     0.10000
     0.45500     1.04450     1.04450     0.10000     0.10000
     0.45600     1.04460     1.04460     0.10000     0.10000
     0.45700     1.04470     1.04470     0.10000     0.10000
     0.45800     1.04480     1.04480     0.10000     0.10000
     0.45900     1.04490     1.04490     0.10000     0.10000
     0.46000     1.04500     1.04500     0.10000     0.10000
     0.46100     1.04510     1.04510     0.10000     0.10000
     0.46200     1.04520     1.04520     0.10000     0.10000
     0.46300     1.04530     1.04530     0.10000     0.10000
     0.46400     1.04540     1.04540     0.10000     0.10000
     0.46500     1.04550     1.04550     0.10000     0.10000
     0.46600     1.04560     1.04560     0.10000     0.10000
     0.46700     1.04570     1.04570     0.10000     0.10000
     0.46800     1.04580     1.04580     0.10000     0.10000
     0.46900     1.04590     1.04590     0.10000     0.10000
     0.47000     1.04600     1.04600     0.10000     0.10000
     0.47100     1.04610     1.04610     0.10000     0.10000
     0.47200     1.04620     1.04620     0.10000     0.10000
     0.47300     1.04630     1.04630     0.10000     0.10000
     0.47400     1.04640     1.04640     0.10000     0.10000
     0.47500     1.04650     1.04650     0.10000     0.10000
     0.47600     1.04660     1.04660     0.10000     0.10000
     0.47700     1.04670     1.04670     0.10000     0.10000
     0.47800     1.04680     1.04680     0.10000     0.10000
     0.47900     1.04690     1.04690     0.10000     0.10000
     0.48000     1.04700     1.04700     0.10000     0.10000
     0.48100     1.04710     1.04710     0.10000     0.10000
     0.48200     1.04720     1.04720     0.10000     0.10000
     0.48300     1.04730     1.04730     0.10000     0.10000
     0.48400     1.04740     1.04740     0.10000     0.10000
     0.48500     1.04750     1.04750     0.10000     0.10000
     0.48600     1.04760     1.04760     0.10000     0.10000
     0.48700     1.04770     1.04770     0.10000     0.10000
     0.48800     1.04780     1.04780     0.10000     0.10000
     0.48900     1.04790     1.04790     0.10000     0.10000
     0.49000     1.04800     1.04800     0.10000     0.10000
     0.49100     1.04810     1.04810     0.10000     0.10000
     0.49200     1.04820     1.04820     0.10000     0.10000
     0.49300     1.04830     1.04830     0.10000     0.10000
     0.49400     1.04840     1.04840     0.10000     0.10000
     0.49500     1.04850     1.04850     0.10000     0.10000
     0.49600     1.04860     1.04860     0.10000     0.10000
     0.49700     1.04870     1.04870     0.10000     0.10000
     0.49800     1.04880     1.04880     0.10000     0.10000
     0.49900     1.04890     1.04890     0.10000     0.10000
     0.50000     1.04900     1.04900     0.10000     0.10000
     0.50100     1.04910     1.04910     0.10000     0.10000
     0.50200     1.04920     1.04920     0.10000     0.10000
     0.50300     1.04930     1.04930     0.10000     0.10000
     0.50400     1.04940     1.04940     0.10000     0.10000
     0.50500     1.04950     1.04950     0.10000     0.10000
     0.50600     1.04960     1.04960     0.10000     0.10000
     0.50700     1.04970     1.04970     0.10000     0.10000
     0.50800     1.04980     1.04980     0.10000     0.10000
     0.50900     1.04990     1.04990     0.10000     0.10000
     0.51000     1.05000     1.05000     0.10000     0.10000
     0.51100     1.05010     1.05010     0.10000     0.10000
     0.51200     1.05020     1.05020     0.10000     0.10000
     0.51300     1.05030     1.05030     0.10000     0.10000
