           t              x              v    Energia_Cinetica
    13.10000       50.60000       -3.00000             4.50000
    13.20000       50.30000       -3.00000             4.50000
    13.30000       50.00000       -3.00000             4.50000
    13.40000       49.70000       -3.00000             4.50000
    13.50000       49.40000       -3.00000             4.50000
    13.60000       49.10000       -3.00000             4.50000
    13.70000       48.80000       -3.00000             4.50000
    13.80000       48.50000       -3.00000             4.50000
    13.90000       48.20000       -3.00000             4.50000
    14.00000       47.90000       -3.00000             4.50000
    14.10000       47.60000       -3.00000             4.50000
    14.20000       47.30000       -3.00000             4.50000
    14.30000       47.00000       -3.00000             4.50000
    14.40000       46.70000       -3.00000             4.50000
    14.50000       46.40000       -3.00000             4.50000
    14.60000       46.10000       -3.00000             4.50000
    14.70000       45.80000       -3.00000             4.50000
    14.80000       45.50000       -3.00000             4.50000
    14.90000       45.20000       -3.00000             4.50000
    15.00000       44.90000       -3.00000             4.50000
    15.10000       44.60000       -3.00000             4.50000
    15.20000       44.30000       -3.00000             4.50000
    15.30000       44.00000       -3.00000             4.50000
    15.40000       43.70000       -3.00000             4.50000
    15.50000       43.40000       -3.00000             4.50000
    15.60000       43.10000       -3.00000             4.50000
    15.70000       42.80000       -3.00000             4.50000
    15.80000       42.50000       -3.00000             4.50000
    15.90000       42.20000       -3.00000             4.50000
    16.00000       41.90000       -3.00000             4.50000
    16.10000       41.60000       -3.00000             4.50000
    16.20000       41.30000       -3.00000             4.50000
    16.30000       41.00000       -3.00000             4.50000
    16.40000       40.70000       -3.00000             4.50000
    16.50000       40.40000       -3.00000             4.50000
    16.60000       40.10000       -3.00000             4.50000
    16.70000       39.80000       -3.00000             4.50000
    16.80000       39.50000       -3.00000             4.50000
    16.90000       39.20000       -3.00000             4.50000
    17.00000       38.90000       -3.00000             4.50000
    17.10000       38.60000       -3.00000             4.50000
    17.20000       38.30000       -3.00000             4.50000
    17.30000       38.00000       -3.00000             4.50000
    17.40000       37.70000       -3.00000             4.50000
    17.50000       37.40000       -3.00000             4.50000
    17.60000       37.10000       -3.00000             4.50000
    17.70000       36.80000       -3.00000             4.50000
    17.80000       36.50000       -3.00000             4.50000
    17.90000       36.20000       -3.00000             4.50000
    18.00000       35.90000       -3.00000             4.50000
    18.10000       35.60000       -3.00000             4.50000
    18.20000       35.30000       -3.00000             4.50000
    18.30000       35.00000       -3.00000             4.50000
    18.40000       34.70000       -3.00000             4.50000
    18.50000       34.40000       -3.00000             4.50000
    18.60000       34.10000       -3.00000             4.50000
    18.70000       33.80000       -3.00000             4.50000
    18.80000       33.50000       -3.00000             4.50000
    18.90000       33.20000       -3.00000             4.50000
    19.00000       32.90000       -3.00000             4.50000
    19.10000       32.60000       -3.00000             4.50000
    19.20000       32.30000       -3.00000             4.50000
    19.30000       32.00000       -3.00000             4.50000
    19.40000       31.70000       -3.00000             4.50000
    19.50000       31.40000       -3.00000             4.50000
