0 0.9 0.5
0.01 0.905 0.506
0.02 0.91 0.512
0.03 0.915 0.518
0.04 0.92 0.524
0.05 0.925 0.53
0.06 0.93 0.536
0.07 0.935 0.542
0.08 0.94 0.548
0.09 0.945 0.554
0.1 0.95 0.56
0.11 0.955 0.566
0.12 0.96 0.572
0.13 0.965 0.578
0.14 0.97 0.584
0.15 0.975 0.59
0.16 0.98 0.596
0.17 0.985 0.602
0.18 0.99 0.608
0.19 0.995 0.614
0.2 1 0.62
0.21 1.005 0.626
0.22 1.01 0.632
0.23 1.015 0.638
0.24 1.02 0.644
0.25 1.025 0.65
0.26 1.03 0.656
0.27 1.035 0.662
0.28 1.04 0.668
0.29 1.045 0.674
0.3 1.05 0.68
0.31 1.055 0.686
0.32 1.06 0.692
0.33 1.065 0.698
0.34 1.07 0.704
0.35 1.075 0.71
0.36 1.08 0.716
0.37 1.085 0.722
0.38 1.09 0.728
0.39 1.095 0.734
0.4 1.1 0.74
0.41 1.105 0.746
0.42 1.11 0.752
0.43 1.115 0.758
0.44 1.12 0.764
0.45 1.125 0.77
0.46 1.13 0.776
0.47 1.135 0.782
0.48 1.14 0.788
0.49 1.145 0.794
0.5 1.15 0.8
0.51 1.155 0.806
0.52 1.16 0.812
0.53 1.165 0.818
0.54 1.17 0.824
0.55 1.175 0.83
0.56 1.18 0.836
0.57 1.185 0.842
0.58 1.19 0.848
0.59 1.195 0.854
0.6 1.2 0.86
0.61 1.205 0.866
0.62 1.21 0.872
0.63 1.215 0.878
0.64 1.22 0.884
0.65 1.225 0.89
0.66 1.23 0.896
0.67 1.235 0.902
0.68 1.24 0.908
0.69 1.245 0.914
0.7 1.25 0.92
0.71 1.255 0.926
0.72 1.26 0.932
0.73 1.265 0.938
0.74 1.27 0.944
0.75 1.275 0.95
0.76 1.28 0.956
0.77 1.285 0.962
0.78 1.29 0.968
0.79 1.295 0.974
0.8 1.3 0.98
0.81 1.305 0.986
0.82 1.31 0.992
0.83 1.315 0.998
0.84 1.32 1.004
0.85 1.325 1.01
0.86 1.33 1.016
0.87 1.335 1.022
0.88 1.34 1.028
0.89 1.345 1.034
0.9 1.35 1.04
0.91 1.355 1.046
0.92 1.36 1.052
0.93 1.365 1.058
0.94 1.37 1.064
0.95 1.375 1.07
0.96 1.38 1.076
0.97 1.385 1.082
0.98 1.39 1.088
0.99 1.395 1.094
1 1.4 1.1
1.01 1.405 1.106
1.02 1.41 1.112
1.03 1.415 1.118
1.04 1.42 1.124
1.05 1.425 1.13
1.06 1.43 1.136
1.07 1.435 1.142
1.08 1.44 1.148
1.09 1.445 1.154
1.1 1.45 1.16
1.11 1.455 1.166
1.12 1.46 1.172
1.13 1.465 1.178
1.14 1.47 1.184
1.15 1.475 1.19
1.16 1.48 1.196
1.17 1.485 1.202
1.18 1.49 1.208
1.19 1.495 1.214
1.2 1.5 1.22
1.21 1.505 1.226
1.22 1.51 1.232
1.23 1.515 1.238
1.24 1.52 1.244
1.25 1.525 1.25
1.26 1.53 1.256
1.27 1.535 1.262
1.28 1.54 1.268
1.29 1.53816 1.27023
1.3 1.53131 1.26647
1.31 1.52447 1.2627
1.32 1.51763 1.25894
1.33 1.51079 1.25517
1.34 1.50394 1.25141
1.35 1.4971 1.24764
1.36 1.49026 1.24388
1.37 1.48342 1.24011
1.38 1.47657 1.23635
1.39 1.46973 1.23258
1.4 1.46289 1.22882
1.41 1.45605 1.22505
1.42 1.4492 1.22128
1.43 1.44236 1.21752
1.44 1.43552 1.21375
1.45 1.42868 1.20999
1.46 1.42183 1.20622
1.47 1.41499 1.20246
1.48 1.40815 1.19869
1.49 1.4013 1.19493
