           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.10000        0.50000        0.50000        0.40200        4.02000
     0.20000        1.00000        1.00000        0.70600        7.47858
     0.30000        0.87131        0.87131        1.35586        6.49858
     0.40000        0.74261        0.74261        1.90772        5.51858
     0.50000        0.61392        0.61392        2.36157        4.53858
     0.60000        0.48522        0.48522        2.71743        3.55858
     0.70000        0.35653        0.35653        2.97529        2.57858
     0.80000        0.22784        0.22784        3.13515        1.59858
     0.90000        0.09914        0.09914        3.19701        0.61858
     1.00000       -0.02955       -0.02955        3.16086       -0.36142
     1.10000       -0.15825       -0.15825        3.02672       -1.34142
     1.20000       -0.28694       -0.28694        2.79458       -2.32142
     1.30000       -0.41564       -0.41564        2.46444       -3.30142
     1.40000       -0.54433       -0.54433        2.03630       -4.28142
     1.50000       -0.67302       -0.67302        1.51015       -5.26142
     1.60000       -0.80172       -0.80172        0.88601       -6.24142
     1.70000       -0.93041       -0.93041        0.16387       -7.22142


         #xs             ys             zs
     1.77160        1.67487        1.96013
     1.80520        1.65369        1.96013
     1.84075        1.63597        1.96013
     1.87788        1.62189        1.96013
     1.91624        1.61159        1.96013
     1.95544        1.60517        1.96013
     1.99508        1.60269        1.96013
     2.03477        1.60419        1.96013
     2.07411        1.60963        1.96013
     2.11271        1.61898        1.96013
     2.15019        1.63214        1.96013
     2.18616        1.64897        1.96013
     2.22027        1.66931        1.96013
     2.25219        1.69295        1.96013
     2.28158        1.71966        1.96013
     2.30816        1.74917        1.96013
     2.33166        1.78119        1.96013
     2.35185        1.81540        1.96013
     2.36852        1.85144        1.96013
     2.38151        1.88898        1.96013
     2.39069        1.92762        1.96013
     2.39596        1.96699        1.96013

     2.59104        2.00000        1.91067
     2.58809        2.05901        1.91067
     2.57926        2.11742        1.91067
     2.56464        2.17466        1.91067
     2.54438        2.23016        1.91067
     2.51869        2.28336        1.91067
     2.48781        2.33373        1.91067
     2.45205        2.38076        1.91067
     2.41178        2.42399        1.91067
     2.36740        2.46298        1.91067
     2.31934        2.49734        1.91067
     2.26809        2.52674        1.91067
     2.21417        2.55087        1.91067
     2.15810        2.56950        1.91067
     2.10046        2.58244        1.91067
     2.04181        2.58956        1.91067
     1.98274        2.59079        1.91067
     1.92385        2.58611        1.91067
     1.86571        2.57558        1.91067
     1.80892        2.55930        1.91067
     1.75404        2.53743        1.91067
     1.70162        2.51019        1.91067
     1.65217        2.47785        1.91067
     1.60620        2.44074        1.91067
     1.56417        2.39923        1.91067
     1.52649        2.35372        1.91067
     1.49354        2.30468        1.91067
     1.46566        2.25260        1.91067
     1.44311        2.19799        1.91067
     1.42612        2.14141        1.91067
     1.41487        2.08341        1.91067
     1.40947        2.02458        1.91067
     1.40997        1.96550        1.91067
     1.41636        1.90677        1.91067
     1.42858        1.84896        1.91067
     1.44652        1.79267        1.91067
     1.46998        1.73845        1.91067
     1.49874        1.68685        1.91067
     1.53251        1.63837        1.91067
     1.57094        1.59350        1.91067
     1.61367        1.55270        1.91067
     1.66026        1.51637        1.91067
     1.71024        1.48486        1.91067
     1.76311        1.45851        1.91067
     1.81835        1.43756        1.91067
     1.87541        1.42224        1.91067
     1.93371        1.41269        1.91067
     1.99268        1.40900        1.91067
     2.05172        1.41123        1.91067
     2.11024        1.41933        1.91067
     2.16766        1.43324        1.91067
     2.22340        1.45281        1.91067
     2.27691        1.47784        1.91067
     2.32766        1.50810        1.91067
     2.37513        1.54326        1.91067
     2.41885        1.58300        1.91067
     2.45839        1.62690        1.91067
