           t              x              y              z             vz
     1.21000        2.83758        2.83758        3.13237        2.39517
     1.22000        2.81774        2.81774        3.15583        2.29717
     1.23000        2.79791        2.79791        3.17831        2.19917
     1.24000        2.77807        2.77807        3.19981        2.10117
     1.25000        2.75824        2.75824        3.22034        2.00317
     1.26000        2.73840        2.73840        3.23988        1.90517
     1.27000        2.71857        2.71857        3.25844        1.80717
     1.28000        2.69873        2.69873        3.27602        1.70917
     1.29000        2.67890        2.67890        3.29262        1.61117
     1.30000        2.65906        2.65906        3.30824        1.51317
     1.31000        2.63923        2.63923        3.32289        1.41517
     1.32000        2.61939        2.61939        3.33655        1.31717
     1.33000        2.59956        2.59956        3.34923        1.21917
     1.34000        2.57972        2.57972        3.36093        1.12117
     1.35000        2.55989        2.55989        3.37165        1.02317
     1.36000        2.54005        2.54005        3.38139        0.92517
     1.37000        2.52021        2.52021        3.39016        0.82717
     1.38000        2.50038        2.50038        3.39794        0.72917
     1.39000        2.48054        2.48054        3.40474        0.63117
     1.40000        2.46071        2.46071        3.41056        0.53317
     1.41000        2.44087        2.44087        3.41540        0.43517
     1.42000        2.42104        2.42104        3.41926        0.33717
     1.43000        2.40120        2.40120        3.42215        0.23917
     1.44000        2.38137        2.38137        3.42405        0.14117
     1.45000        2.36153        2.36153        3.42497        0.04317
     1.46000        2.34170        2.34170        3.42491       -0.05483
     1.47000        2.32186        2.32186        3.42387       -0.15283
     1.48000        2.30203        2.30203        3.42185       -0.25083
     1.49000        2.28219        2.28219        3.41886       -0.34883
     1.50000        2.26236        2.26236        3.41488       -0.44683
     1.51000        2.24252        2.24252        3.40992       -0.54483
     1.52000        2.22269        2.22269        3.40398       -0.64283
     1.53000        2.20285        2.20285        3.39706       -0.74083
     1.54000        2.18302        2.18302        3.38916       -0.83883
     1.55000        2.16318        2.16318        3.38029       -0.93683
     1.56000        2.14334        2.14334        3.37043       -1.03483
     1.57000        2.12351        2.12351        3.35959       -1.13283
     1.58000        2.10367        2.10367        3.34777       -1.23083
     1.59000        2.08384        2.08384        3.33497       -1.32883
     1.60000        2.06400        2.06400        3.32119       -1.42683
     1.61000        2.04417        2.04417        3.30644       -1.52483
     1.62000        2.02433        2.02433        3.29070       -1.62283
     1.63000        2.00450        2.00450        3.27398       -1.72083
     1.64000        1.98466        1.98466        3.25628       -1.81883
     1.65000        1.96483        1.96483        3.23760       -1.91683
     1.66000        1.94499        1.94499        3.21794       -2.01483
     1.67000        1.92516        1.92516        3.19731       -2.11283
     1.68000        1.90532        1.90532        3.17569       -2.21083
     1.69000        1.88549        1.88549        3.15309       -2.30883
     1.70000        1.86565        1.86565        3.12951       -2.40683
     1.71000        1.84582        1.84582        3.10495       -2.50483
     1.72000        1.82598        1.82598        3.07942       -2.60283
     1.73000        1.80615        1.80615        3.05290       -2.70083
     1.74000        1.78631        1.78631        3.02540       -2.79883
     1.75000        1.76648        1.76648        2.99692       -2.89683
     1.76000        1.74664        1.74664        2.96746       -2.99483
     1.77000        1.72680        1.72680        2.93702       -3.09283
     1.78000        1.70697        1.70697        2.90561       -3.19083
     1.79000        1.68713        1.68713        2.87321       -3.28883
     1.80000        1.66730        1.66730        2.83983       -3.38683
     1.81000        1.64746        1.64746        2.80547       -3.48483
